Query,Retrieved_Act,Top Chunk Section,Top Chunk Text,Model Answer,Runtime
Can a child work?,Children Act,18 – Protection from child labour - Protection from child labour,"(1) No person shall subject a child to child labour, domestic servitude, economic exploitation or any work or employment which is hazardous, interferes with the child’s education or is likely to be harmful to the child’s health or physical, mental, moral or social development. (2) For the purposes of subsection (1)— (a) ""employment"" has the meaning assigned to it under section 52 of the Employment Act (Cap. 226); (b) the provisions of Part VII of the Employment Act (Cap. 226) shall apply with ne","Under Kenyan law, a child may work only under specific conditions outlined in the Children Act and the Employment Act. According to **Children Act s. 1(1)**, no person shall subject a child to child labour, domestic servitude, economic exploitation, or any work that is hazardous, interferes with the child’s education, or is harmful to the child’s health or development. This means that child labour is generally prohibited unless it meets strict criteria. **Children Act s. 1(2)(b)** allows for the employment of children between thirteen and sixteen years of age, provided the work is **light work** that is **not harmful to the child’s health or development** and **does not prejudice the child’s attendance at school or participation in vocational training**. Additionally, the **Employment Act s. 56(2)** permits the employment of children aged thirteen to sixteen in **light work** under the conditions outlined above. However, **Children Act s. 1(3)** prohibits the use of children in **slavery-like practices**, including **forced or compulsory labour**, **debt bondage**, **begging**, and **servitude**. These forms of child labour are explicitly outlawed. In summary, a child may work only if the employment is **light**, **not harmful**, and **does not interfere with education**. Any form of **forced labour**, **economic exploitation**, or **hazardous work** is prohibited. The Cabinet Secretary has the authority to regulate the **terms and conditions** of such employment.",
What does the law say about keeping kids safe from abuse?,Children Act,"22 – Protection from abuse, etc. - Protection from abuse, etc.","(1) No person shall subject a child to— (a) psychological abuse; or (b) child abuse. (2) Any person who contravenes subsection (1) commits an offence and shall, on conviction, be liable to imprisonment for a term not exceeding five years or to a fine not exceeding two million shillings, or to both. (3) Without prejudice to the generality of subsection (1), any person who, through any electronic system, network, or other communication technology— (a) proposes or solicits to meet a child for the p","The law in Kenya provides comprehensive protection for children from abuse, exploitation, and harm. Under the **Children Act**, it is illegal for any person to subject a child to **psychological abuse** or **child abuse**, which constitutes an offence punishable by imprisonment for up to **five years** or a fine of up to **two million shillings**, or both (Children Act s.22(1) and (2)). Additionally, the law explicitly criminalizes **online abuse, harassment, or exploitation** of children, including **cyber bullying, grooming, and solicitation** for sexual activities. Offenders may face imprisonment for up to **ten years** or a fine of up to **two million shillings**, or both (Children Act s.22(3) and (4)). The **Constitution of Kenya** also guarantees children the right to be **protected from abuse, neglect, harmful cultural practices, all forms of violence, inhuman treatment and punishment**, and **hazardous or exploitative labour** (Constitution s.53(1)(d)). This reinforces the legal obligation to safeguard children's well-being. In summary, Kenyan law offers robust legal protections to ensure children are kept safe from abuse through criminal sanctions, constitutional rights, and specific provisions addressing online and other forms of exploitation.",
When can authorities take a child away from their parents?,Children Act,144 – When a child is in need of care and protection - When a child is in need of care and protection,"a child-headed household; (ee) who lives and works on the streets; (ff) who for any other reason, is, in the opinion of an authorized officer, vulnerable to harm or abuse; (gg) who is Human Immunodeficiency Virus (HIV) positive or has Acquired Immunodeficiency Syndrome (AIDS), and is subjected to discriminatory treatment or abuse, and whose parents are unable to exercise proper care of the child; (hh) who is recruited or is at risk of being recruited into unlawful gangs, or is exposed to or in i","Authorities may take a child away from their parents under the **Children Act** when the child is in **need of care and protection**, as outlined in **Section 144(1)**. This includes situations where the child is: - A member of a **child-headed household**; - **Living and working on the streets**; - **Vulnerable to harm or abuse** for any reason; - **HIV positive or has AIDS** and is subjected to discriminatory treatment or abuse, and the parents are unable to provide proper care; - **At risk of being recruited into unlawful gangs** or exposed to radicalization; - **Suffering from a terminal, debilitating, or chronic illness** and the parents are unable to provide proper care; - **In need of medical treatment** but denied access by the parents or guardians on religious grounds. In such cases, the **Court** or an **authorized officer** may intervene to ensure the child's **welfare and protection**. The **best interest of the child** must be the primary consideration, and appropriate steps must be taken to remove the child from harmful environments and ensure their **maintenance, education, and training**. Additionally, under **Section 236(3)**, a child with **special needs** placed in **remand or custodial care** must receive **fair treatment**, **equal care**, and **special attention** to their needs. Parents and guardians of a **child offender** in such care also retain the **right to access the child** for their **wellbeing**. If the child is **detained** under **Section 26**, the detention must be a **matter of last resort**, and the child must be **accorded legal assistance** and **contact with their family**. In all cases, the **state** is responsible for ensuring the **humane treatment** and **protection** of the child, in line with the **Constitution** and **international standards**.",
What happens if the police arrest someone?,Criminal Procedure Code,21 – Arrest - Arrest,"(1) In making an arrest the police officer or other person making it shall actually touch or confine the body of the person to be arrested, unless there be a submission to custody by word or action. (2) If a person forcibly resists the endeavour to arrest him, or attempts to evade the arrest, the police officer or other person may use all means necessary to effect the arrest. (3) Nothing in this section shall justify the use of greater force than was reasonable in the particular circumstances in","If the police arrest someone, they must physically touch or confine the person's body, unless the individual submits to custody by word or action (Criminal Procedure Code s.21(1)). The police may use all necessary means to effect the arrest if the person resists or attempts to evade custody (Criminal Procedure Code s.21(2)). The police can arrest without a warrant if they have reasonable grounds to suspect the person of committing a cognizable offence, obstructing a police officer, escaping lawful custody, or being involved in an act committed outside Kenya (Criminal Procedure Code s.29). If an officer deputes a subordinate to make an arrest without a warrant, they must provide a written order specifying the person to be arrested and the reason for the arrest (Criminal Procedure Code s.31). A police officer may also arrest someone to prevent the commission of a cognizable offence if they believe the offence cannot otherwise be prevented (Criminal Procedure Code s.64). After making an arrest without a warrant, the police officer must take the person before a magistrate or an officer in charge of a police station without unnecessary delay (Criminal Procedure Code s.33).",
i need to know law of succession,Law of Succession Act,4 – Law applicable to succession - Law applicable to succession,"(1) Except as otherwise expressly provided in this Act or by any other written law— (a) succession to immovable property in Kenya of a deceased person shall be regulated by the law of Kenya, whatever the domicile of that person at the time of his death; (b) succession to the movable property of a deceased person shall be regulated by the law of the country of the domicile of that person at the time of his death. (2) A person who immediately before his death was ordinarily resident in Kenya shall","The **Law of Succession Act (Cap. 160)** governs intestate and testamentary succession in Kenya. Key provisions include: 1. **Applicable Law**: - Succession to **immovable property** in Kenya is governed by Kenyan law, regardless of the deceased's domicile (s. 4(1)(a)). - Succession to **movable property** is governed by the law of the deceased's domicile at the time of death (s. 4(1)(b)). - A person last resident in Kenya is presumed to be domiciled in Kenya unless proven otherwise (s. 4(2)). 2. **Children's Rights**: - Every child has the right to inherit property under the Law of Succession Act (s. 17(1)). - No child may be disinherited on grounds such as age, sex, religion, race, or other status (s. 17(2)(b)). - Offenders who disinherit a child may face imprisonment (up to 2 years), a fine (up to Ksh 5 million), or both (s. 17(3)). - The child is also entitled to restitution of property (s. 17(4)). 3. **Application of Wills**: - Provisions in paragraphs 6–9 of the Act apply unless there is a clear contrary intention in the will (s. 11). This Act ensures equitable treatment of heirs and safeguards the inheritance rights of children.",48625.84
can children inherit properties from parents,Children Act,202 – Rights and duties of parents and capacity to marry - Rights and duties of parents and capacity to marry,"(1) Upon an adoption order being made, all rights, duties, obligations and liabilities of the biological parents in case of a first adoption or adoptive parents in case of subsequent adoption or guardians of the child in relation to the future custody, maintenance and education of the child, including all rights to appoint a guardian, to inherit property and to consent or give notice of dissent to marriage, shall be extinguished, and all such rights, duties, obligations and liabilities shall ves","Yes, children can inherit property from parents, as the rights of adoption under the **Children Act** provide that upon an adoption order being made, all rights, duties, obligations and liabilities of the biological parents in relation to the future custody, maintenance and education of the child, including the right to inherit property, shall be extinguished and vest in the adopter. This means that adopted children have the same inheritance rights as biological children. In addition, under **section 114(1)(a)** of the **Children Act**, the court considers the financial provisions for the child, which may include inheritance rights, when determining maintenance and other responsibilities of the respondent. Therefore, children, whether biological or adopted, are generally entitled to inherit property from their parents, subject to the specific circumstances and legal provisions applicable in each case.",27397.64
how can i buy property in town,Law of Succession Act,32 – General legacy of property not in testator's possession - General legacy of property not in testator's possession,"Notwithstanding the provisions of paragraphs 8 to 14 of the Second Schedule, where a general legacy is in the form of a gift of a specified type of property which is not at the time of the testator's death included in his estate, the value of that gift shall, if it can be ascertained, be met from the testator's general estate, but if the value thereof cannot be ascertained the gift shall fail. Annuities","The question of how to buy property in town is not directly addressed in the provided legal context. However, based on general legal principles and the relevant constitutional and statutory provisions, here is a summary of the legal framework that may apply: 1. **Right to Property**: Under the Constitution of Kenya, Article 40(1), every person has the right to own, use, and dispose of property, including land, subject to laws and regulations. This includes the right to acquire property in town, provided it is done in accordance with Chapter Five of the Constitution, which deals with land and property. 2. **Land Use and Regulation**: Article 66(1) of the Constitution allows the State to regulate the use of land or any interest in land in the interest of defence, public safety, public order, public morality, public health, or land use planning. This means that acquiring property in town may be subject to local land use regulations and planning laws. 3. **Acquisition of Property**: To purchase property in town, one must follow the legal procedures for acquiring property, which may include: - Conducting due diligence on the property, including verifying title and ownership. - Negotiating and entering into a legally binding purchase agreement. - Registering the transfer of ownership with the relevant land registry or authority. - Ensuring compliance with any applicable laws, including those related to land use, zoning, and property rights. 4. **Compensation and Disputes**: If there are disputes over property rights or if the property is acquired for public purposes, the Constitution and relevant laws (such as the Land Act) provide for compensation and legal recourse. In summary, purchasing property in town involves legal procedures that ensure compliance with constitutional rights, land use regulations, and property laws. For specific legal guidance, it is advisable to consult a legal professional or relevant authorities.",51878.51
how can i register an NGO in kenya,Children Act,200 – Adopted Children Register - Adopted Children Register,"(1) The Registrar shall maintain an Adopted Children Register and shall make such entries as the court may direct. (2) A certified copy of an entry in the Adopted Children Register that is sealed or stamped with the seal of the Registrar shall be admitted as evidence of the adoption to which it relates. (3) A certified copy of an entry in the Adopted Children Register that contains an entry of a record of the date of the birth or the country of birth of an adopted child, shall be admitted as evi","The context provided does not contain any legal information regarding the registration of Non-Governmental Organizations (NGOs) in Kenya. Therefore, I cannot provide a legal summary based on the given context.",12060.14
how to register a business in kenya,Work Injury Benefits Act,8 – Registration of employer - Registration of employer,"(1) Every employer carrying on business in Kenya shall within the prescribed period and in the prescribed manner— (a) register with the Director; (b) furnish the Director with the prescribed particulars of their business; and (c) within a period determined by the Director furnish additional particulars as the Director may require. (2) The particulars referred to in subsection (1) shall be furnished separately in respect of each business carried on by the employer. (3) An employer shall, within t","To register a business in Kenya, an employer must comply with the requirements set out in the **Work Injury Benefits Act** (WIBA), specifically **Section 8(1)**. The employer must: 1. **Register with the Director** within the prescribed period and in the prescribed manner. 2. **Furnish the Director with the prescribed particulars of their business**, including details about the nature and location of the business. 3. If the employer operates from multiple workplaces or engages in multiple classes of business, they may be required to **register separately** for each workplace or class of business, as specified in **Section 8(4)**. 4. **Notify the Director of any changes** in the particulars within **thirty days** of the change. Failure to comply with these requirements may result in the employer being unable to access benefits under the WIBA, including compensation for work-related injuries.",31410.39
how can i buy land,Constitution of Kenya,62 – Public land - Public land,"(1) Public land is— (a) land which at the effective date was unalienated government land as defined by an Act of Parliament in force at the effective date; (b) land lawfully held, used or occupied by any State organ, except any such land that is occupied by the State organ as lessee under a private lease; (c) land transferred to the State by way of sale, reversion or surrender; (d) land in respect of which no individual or community ownership can be established by any legal process; (e) land in ","To buy land in Kenya, you can acquire title to land through various methods outlined in the Land Act. These include: - **Allocation**: Land may be allocated to individuals or entities by the government, often for development or settlement purposes. - **Land adjudication process**: This involves the legal process of determining land ownership, particularly for land that is not clearly defined. - **Compulsory acquisition**: The government may acquire private land for public purposes, such as infrastructure development, with appropriate compensation. - **Prescription**: This is the acquisition of land through continuous and uninterrupted possession for a statutory period. - **Settlement programs**: Land may be made available through government-led settlement programs, often involving the Land Settlement Fund. - **Transmissions**: This includes inheritance, succession, or other legal transfers of land ownership. - **Transfers**: Land may be purchased from private owners through a legal transfer process. - **Long-term leases exceeding twenty-one years**: These may be converted into ownership rights under certain conditions. Additionally, land may be acquired through **conversion** from public or community land, subject to legal procedures and approvals. For instance, public land may be converted to private land through allocation, while private land may be converted to public land through compulsory acquisition, reversion of leasehold interest, or surrender. It is important to ensure that all land transactions comply with the Land Act and other relevant laws, and that proper legal documentation is obtained. If the land is part of a settlement program, the Land Settlement Fund may be involved in the acquisition process.",44844.12
